Pct_Delta,PCT_Change,M_P_A,M_P_B,M_P_C,M_P_D,M_P_E,M_P_F,TlncT_P_A,TlncT_P_B,TlncT_P_C,TlncT_P_D,TlncT_P_E,TlncT_P_F,CPT_P_A,CPT_P_B,CPT_P_C,CPT_P_D,CPT_P_E,CPT_P_F,MCPT_P_A,MCPT_P_B,MCPT_P_C,MCPT_P_D,MCPT_P_E,MCPT_P_F,nMCPT_P_A,nMCPT_P_B,nMCPT_P_C,nMCPT_P_D,nMCPT_P_E,nMCPT_P_F,nMTIncT_P_A,nMTIncT_P_B,nMTIncT_P_C,nMTIncT_P_D,nMTIncT_P_E,nMTIncT_P_F
0.194444444,3.6,159054.5212,70084.82174,18448.15475,2269.224,44933.82372,70714.01872,48602.89345,25163.92819,3742.830554,525.9491752,10851.14508,26408.36773,3.27253194,2.785130414,4.928931321,4.31453096,4.140929218,2.677712588,10.15029244,7.844075122,8.547372372,7.311901516,7.180879929,8.466817071,10.03835324,7.762153719,8.489683583,7.264225793,7.132414009,8.374637268,3168.936524,1805.808653,434.6017038,62.47669234,1259.989217,1688.766127
0.189189189,3.7,163472.7023,72031.62235,18960.60349,2332.258,46181.98549,72678.29702,49038.16969,25412.11559,3802.784505,534.5699149,11024.96247,26640.36498,3.333580828,2.834538592,4.985978949,4.362868046,4.188856482,2.728126925,10.33589041,7.980241025,8.644963827,7.392637356,7.262869164,8.619561777,10.22443469,7.898756569,8.587943486,7.345533977,7.214964825,8.527829372,3197.686859,1823.872447,441.5633038,63.50138757,1280.172159,1704.496979
0.184210526,3.8,167890.8835,73978.42295,19473.05223,2395.292,47430.14726,74642.57531,49465.62983,25656.0682,3862.061647,543.0965066,11196.81766,26868.25108,3.394091697,2.883466881,5.042139152,4.410435293,4.236038195,2.778095794,10.51984505,8.115076864,8.741056912,7.472103286,7.343599577,8.770875202,10.40884731,8.034007862,8.68467487,7.425546394,7.296231491,8.679568074,3225.926532,1841.631829,448.4463155,64.51490228,1300.127259,1719.960594
0.179487179,3.9,172309.0646,75925.22356,19985.50098,2458.326,48678.30903,76606.85361,49885.61521,25895.96742,3920.687136,551.5324178,11366.78359,27092.20573,3.454083184,2.93193231,5.097448555,4.457264742,4.282505128,2.827634426,10.70221268,8.248629359,8.835712694,7.550351508,7.423122473,8.920806232,10.59164897,8.167955667,8.779940821,7.504316986,7.376267007,8.829903626,3253.677781,1859.099796,455.2536602,65.51764816,1319.862987,1735.16851
0.2,4,176727.2458,77872.02416,20497.94972,2521.36,49926.4708,78571.13191,50298.44397,26131.98246,3978.684579,559.8809033,11534.92871,27312.3964,3.513572823,2.979950881,5.15194138,4.503386319,4.328286032,2.87675716,10.88304628,8.380942452,8.928988275,7.627430818,7.501485825,9.069400897,10.77289414,8.300645158,8.873800283,7.581896133,7.455120892,8.978883313,3280.961337,1876.288474,461.9880788,66.51001163,1339.387289,1750.131485
0.219512195,4.1,181145.4269,79818.82476,21010.39846,2584.394,51174.63257,80535.41021,50704.41312,26364.27144,4036.076159,568.1450228,11701.31731,27528.97943,3.572577134,3.027537664,5.205649655,4.548828021,4.373407814,2.92547751,11.06239583,8.512057537,9.020937146,7.703386909,7.578734572,9.216702603,10.9526341,8.432118858,8.966308421,7.658330973,7.532839494,9.126551692,3307.796557,1893.209195,468.6521471,67.49235595,1358.707632,1764.859564
0.214285714,4.2,185563.608,81765.62537,21522.84721,2647.428,52422.79434,82499.6885,51103.80049,26592.98237,4092.882756,576.3276574,11866.00995,27742.10102,3.631111703,3.074706861,5.258603407,4.59361609,4.417895701,2.973808236,11.24030852,8.642013666,9.111609491,7.778262637,7.654910874,9.362752344,11.13091728,8.56241686,9.057516955,7.733665679,7.609466264,9.272950818,3334.201547,1909.872568,475.2482896,68.46502319,1377.831047,1779.36215
0.209302326,4.3,189981.7892,83712.42597,22035.29595,2710.462,53670.95611,84463.9668,51496.86632,26818.25401,4149.124054,584.4315237,12029.06368,27951.89812,3.689191261,3.121471887,5.310830831,4.637775155,4.46177338,3.0217614,11.41682894,8.770847732,9.201052467,7.852098256,7.73005435,9.507588889,11.3077894,8.691577014,9.147474449,7.807941717,7.685042,9.418120433,3360.19327,1926.28854,481.778792,69.42833587,1396.764158,1793.648051
0.204545455,4.4,194399.9703,85659.22658,22547.74469,2773.496,54919.11788,86428.2451,51883.85479,27040.21666,4204.818633,592.4591868,12190.53237,28158.49922,3.746829744,3.167845422,5.362358442,4.681328371,4.505063127,3.069348421,11.59199933,8.898594636,9.289310451,7.924931638,7.804202282,9.651248948,11.48329375,8.819635104,9.23622657,7.881198068,7.75960507,9.562098151,3385.787643,1942.466453,488.2458117,70.38259859,1415.513222,1807.725537
0.2,4.5,198818.1515,87606.02718,23060.19344,2836.53,56167.27965,88392.5234,52264.99535,27258.99285,4259.984057,600.4130725,12350.46694,28362.02503,3.804040355,3.213839472,5.413211207,4.724297538,4.547785918,3.116580121,11.76585973,9.025287437,9.376425262,7.996798459,7.877389803,9.793767327,11.65747131,8.946625006,9.323816325,7.95347143,7.833191605,9.704919614,3410.999627,1958.415092,494.6513881,71.32809931,1434.084151,1821.602381
